No,Contents
47,"@JCCONSUEGRA @hammer105 @IvanDuque @NicolasMaduro Suena curioso que los problemas de Colombia sean tan notorios desde la migración de venezolanos, entonces antes no existia: ¿inseguridad, hambre en los territorios, era muy eficiente los servicios de salud? Es más como diría @JuanManSantos https://t.co/JrbTKVzc9s"
58,"RT @Dani_Matamoros: ¿Notaron que todas las venezolanas traen nombres de putas? Deyna, Genesis, Vaynia, Zoryna..."
60,"RT @fertineo: Sr. Presidente @Lenin no generalice cuando hable de los venezolanos, no somos unos criminales. Porque entonces hablemos: este Sr. Es ecuatoriano y fue responsable de la matanza de 28 mineros en el sur de Venezuela. Yo sería incapaz de decir q TODOS los ecuatorianos son criminales https://t.co/MIig2lLWSx"
61,"RT @VVSinMiedo: Gobiernos latinoamericanos, la solución a sus problemas con la migración venezolana es fácil. Busquen quiénes están inscritos en el PSUV y se librarán de unos cuentos miles de estafadores, asesinos, violadores y hampones #Ibarra"
62,"RT @fertineo: Sr. Presidente @Lenin no generalice cuando hable de los venezolanos, no somos unos criminales. Porque entonces hablemos: este Sr. Es ecuatoriano y fue responsable de la matanza de 28 mineros en el sur de Venezuela. Yo sería incapaz de decir q TODOS los ecuatorianos son criminales https://t.co/MIig2lLWSx"
65,QT @VenezuelaAnons: No marica eso no se hace no sean hijueputas ; En Ecuador están persiguiendo a venezolanos y destrozándole cualquier propiedad que éstos puedan tener. Nosotros lamentamos lo sucedido con la joven Diana pero esto no da derecho a perseguir a todos los venezolanos. Aquí todos somos víctimas de socialistas https://t.co/atfmUQ7A1O
71,RT @la_patilla: Dos venezolanos son señalados de cometer un millonario atraco en Bucaramanga https://t.co/uR50q4DwOF ´
73,"RT @TestigoDirecto: Entramos a un vecindario de miseria, un lugar a donde llegan prostitutas, habitantes de calle, drogadictos e inmigrantes venezolanos cada noche. . https://t.co/BUYcEEYh5C https://t.co/XpHSIxfrGU"
76,"RT @womenslink: Cifras alarmantes. En #Colombia el 80% de las víctimas de trata son mujeres. Además, este delito está afectando a las mujeres venezolanas que migran hacia este país. A nivel global, según la @UNODC, el 49% de las víctimas son mujeres y el 23% son niñas. https://t.co/scfFO0BurM"
78,"RT @SurielOpina: 10 venezolanos atacan de la manera más brutal a un adulto mayor, ya que éste señor les pidió a los extranjeros que, por favor, bajen el volumen de su música: estos hicieron caso omiso y en vez de llevar la fiesta en paz, pues adoptaron comportamientos francamente CRIMINALES https://t.co/nXUyweWlXD"
80,RT @LuisChataing: NO todos somos el asesino que le arrebató la vida a Diana. Los criminales no son exclusivos de ningún país. Meter a TODOS los venezolanos en el mismo sacó de un criminal es como meter a TODOS los ecuatorianos en el saco de un delincuente nacido en Ecuador. #PiensaloLeninMoreno
82,"Es espeluznante. Implícitamente el mensaje es ""los venezolanos son ladrones y asesinos. No los contraten"". ¿Cuántos millones de colombianos reciben este mensaje?"
84,"@AlvaroUribeVel no entiendo por que carajos, no se cierran las fronteras, toda @Venezuela se esta viniendo a colombia, a invadirla a robar! Si tanto ejemplo tienen a @realDonaldTrump el si proteje su pais, contra los insurgentes ladrones, los venecos no trabajan, son mantenidos https://t.co/zxBOpTKKa6"
91,"Voy en el puto bus a las 2 de la mañana y una vieja esta cantando todas las putas canciones que le salen como si estuviera haciendo aseo, entienden ? Ahh y es venezolana, cómo si jamas se hubiese subido a un puto voz. Y eso que ya mandaron callar más de una vez."
95,"QT @PinzonBueno: RT @Nostradamus_Col: Las denuncias del exministro @PinzonBueno me suenan igual que las denuncias de la exfiscal venezolana @lortegadiaz. Ay… ; La estupidez de haber parado la lucha contra el narcotráfico. Resultado: más coca, más violencia, más grupos criminales fortalecidos, y más farc (retaguardia y disidencias) en los próximos años. Se advirtió y se enfrentó. Perdió el país. https://t.co/FZgyIXrMER"
96,RT @Citytv: Cuatro vías de Colombia se convirtieron en escenario de la explotación sexual. Migrantes venezolanos son los más vulnerables a ser víctimas de este delito #TuMundoHoy https://t.co/icLGRlCXWS
97,"RT @fertineo: Sr. Presidente @Lenin no generalice cuando hable de los venezolanos, no somos unos criminales. Porque entonces hablemos: este Sr. Es ecuatoriano y fue responsable de la matanza de 28 mineros en el sur de Venezuela. Yo sería incapaz de decir q TODOS los ecuatorianos son criminales https://t.co/MIig2lLWSx"
101,"RT @TestigoDirecto: Entramos a un vecindario de miseria, un lugar a donde llegan prostitutas, habitantes de calle, drogadictos e inmigrantes venezolanos cada noche. . https://t.co/BUYcEEYh5C https://t.co/XpHSIxfrGU"
104,RT @Helenpomar: @IvanDuque @OEA_oficial Cerrar la embajada y expulsar a todos los venezolanos diplomáticos en Colombia!
105,"Los #venezolanos se fueron a pasar a #venezuela las fiestas. Echaron traguito, comieron del putas y gozaron de lo lindo con la plata que recogieron en Colombia. Ahora vuelven sin un peso a pedir de nuevo en las calles y llenar los parques de Bucaramanga. #venezolanosenelmundo"
106,"Tenemos suficientes problemas como para ahora lidiar con ladrones Venezolanos... terrible que los comerciantes tengamos que asumir las pérdidas, mientras el presidente @IvanDuque @CancilleriaCol no frenan ésta migración que nos afecta a miles."
113,@RevistaSemana @IvanDuque Violencia e inseguridad que en gran parte se aumento con migración de hermanos venezolanos a colombia
115,RT @LuisChataing: NO todos somos el asesino que le arrebató la vida a Diana. Los criminales no son exclusivos de ningún país. Meter a TODOS los venezolanos en el mismo sacó de un criminal es como meter a TODOS los ecuatorianos en el saco de un delincuente nacido en Ecuador. #PiensaloLeninMoreno
117,"QT @AyMariaCandela: Totalmente de acuerdo contigo señorita en cualquier parte de el mundo solo sirve gente que produzca ,, para putas preñadas ,, ladrones maricas ,, asesinos ,, ebrios y drogadictos y vagos ya tenemos suficientes ,, fuera venezolanos sidosos de colombia yaaa ; Suficiente tengo con los de la gente de mi país como para aguantarme un extranjero, que pa' demás, vive en Colombia 😂 Faltaba más. ¿Musiquita?"
118,"Venezolanos que no son malos, que no son ladrones, que no son aprovechados ni asesinos. Hay que tener en cuenta que estos hechos tan atroces no tienen nada que ver si el sujeto es venezolano."
120,"@mluciaramirez El ingreso d malandros Venezolanos entrenados x Dictadura @NicoIasmaduro ,ingresan sin exigirles documentos,ni les revisan maletas,tulas etc,donde camuflan armas,contrabando,esa caridad nos trae atracos,asesinatos,robos,un grave peligro.latente."
122,"RT @WRadioColombia: Las salidas de las dictaduras criminales no se dan solo por los llamados internacionales, tiene que haber más iniciativa de los ciudadanos venezolanos: Marta Lucía Ramírez #VicepresidenteEnLaW https://t.co/cRSkzb0LQp"
123,@WRadioColombia @jsanchezcristo escuchar a esta señora es vergonzoso. Es inamisible los miles de venezolanos saliendo de su país por el hambre y la inseguridad.
127,"QT @Gabrielvalless: RT @LORENT_SALEH: La Asamblea Nacional fue rescatada por la ciudadania venezolana luego de años en manos de criminales como Diosdado y Nico… ; Total respaldo a @juanguaido y toda la nueva directiva de la Asamblea Nacional, así como dijo, los venezolanos no somos víctimas, ¡Somos sobrevivientes!. #2019 #Venezuela #Caracas #AsambleaNacional #Dibujo #Draw #Pencil #Arte #Art #artivismo #BlackAndWhite #Freedom #Libertad https://t.co/DLFccFhOnr"
129,"RT @HDRO86: Señores @MigracionCol por que no deportan a los venezolanos indocumentados? Cual es el miedo? Saben que son los que están aumentando la inseguridad, solicito a @IvanDuque de la orden de deportar a esa gente indocumentada"
135,RT @LuisChataing: NO todos somos el asesino que le arrebató la vida a Diana. Los criminales no son exclusivos de ningún país. Meter a TODOS los venezolanos en el mismo sacó de un criminal es como meter a TODOS los ecuatorianos en el saco de un delincuente nacido en Ecuador. #PiensaloLeninMoreno
139,"QT @GregJaimes: RT @rociozairet: Esto es un delito también. Pagan justos por pecadores... https://t.co/CR7rG3mk1u ; Manifestantes en Ibarra, Ecuador, recorren las casas donde viven los venezolanos para sacarles sus propiedades y quemarlas. https://t.co/rQMC5N8ZJ7"
143,"RT @garciabanchs: Los políticos venezolanos en su gran mayoría son unos irresponsables. Por eso serán, también en su mayoría, sustituidos por una nueva clase (liberal) en emergencia. Hacer ver que existe una salida política con criminales armados es demagogia y una irresponsabilidad."
146,"RT @CARLOSFMEJIA: Mientras el Grupo de Lima lucha para ayudar a #Venezuela a librarse de la tiranía y a recuperar su democracia, @lopezobrador_ al mejor estilo petrista, se niega a aceptar que los venezolanos estan sufriendo en las manos criminales de un dictador. Qué fácil se hacen los locos. https://t.co/dJI8j2CHnC"
153,RT @Paosal1564: Los Venezolanos deseamos que los militares sean bien tratados y no obligados a ser delincuentes o criminales para no ser despedidos. https://t.co/DfWzU0AkaN
155,RT @LuisChataing: NO todos somos el asesino que le arrebató la vida a Diana. Los criminales no son exclusivos de ningún país. Meter a TODOS los venezolanos en el mismo sacó de un criminal es como meter a TODOS los ecuatorianos en el saco de un delincuente nacido en Ecuador. #PiensaloLeninMoreno
156,"RT @CARLOSFMEJIA: Mientras el Grupo de Lima lucha para ayudar a #Venezuela a librarse de la tiranía y a recuperar su democracia, @lopezobrador_ al mejor estilo petrista, se niega a aceptar que los venezolanos estan sufriendo en las manos criminales de un dictador. Qué fácil se hacen los locos. https://t.co/dJI8j2CHnC"
159,"RT @NTN24ve: #AHORA Juan Guaidó, nuevo presidente de la Asamblea Nacional: Este 2019 arrancó con silencio y tristeza por la ausencia de quienes emigraron y por los más de 27.000 venezolanos que en el 2018 perdieron la vida a causa de la inseguridad #5Ene https://t.co/RBk1t0LP6W https://t.co/4QnGDJOmI1"
162,"QT @CARLOSFMEJIA: El camino para los mexicanos apenas comienza ; Mientras el Grupo de Lima lucha para ayudar a #Venezuela a librarse de la tiranía y a recuperar su democracia, @lopezobrador_ al mejor estilo petrista, se niega a aceptar que los venezolanos estan sufriendo en las manos criminales de un dictador. Qué fácil se hacen los locos. https://t.co/dJI8j2CHnC"
163,RT @LuisChataing: NO todos somos el asesino que le arrebató la vida a Diana. Los criminales no son exclusivos de ningún país. Meter a TODOS los venezolanos en el mismo sacó de un criminal es como meter a TODOS los ecuatorianos en el saco de un delincuente nacido en Ecuador. #PiensaloLeninMoreno
165,QT @K_osVenezuela: RT @pegada123: Siguen las expresiones de IRA...cuando se pierda el poco control...todos lo lamentaremos!!!!! https://t.co/ua8KuUkVlX ; Mientras el maldito tirano de mierda habla paja... y mientras la política venezolana no termina de definirse... La ECONOMÍA ESTÁ DESTRUIDA EN MIL PEDAZOS... HIJOS DE PUTAS TODOS NO JODA Hasta cuando tanta estupidez... Verga
170,RT @LuisChataing: NO todos somos el asesino que le arrebató la vida a Diana. Los criminales no son exclusivos de ningún país. Meter a TODOS los venezolanos en el mismo sacó de un criminal es como meter a TODOS los ecuatorianos en el saco de un delincuente nacido en Ecuador. #PiensaloLeninMoreno
175,"RT @naiara7avil: Solo representas la miseria, tristeza y dolor que viven las familias venezolanas, tú mandato solo ha Sido corrupción, desnutrición, delincuencia, muertes y dolor #MaduroNoEsMiPresidente https://t.co/qlh5A9PIcQ"
181,RT @YamitNoe: Iniciamos el día en concejo de seguridad con @PoliciaBoyaca @COL_EJERCITO analizando nuestra situación de inseguridad y migrantes Venezolanos en nuestro municipio https://t.co/jYPkrySVvB
184,"RT @WRadioColombia: Las salidas de las dictaduras criminales no se dan solo por los llamados internacionales, tiene que haber más iniciativa de los ciudadanos venezolanos: Marta Lucía Ramírez #VicepresidenteEnLaW https://t.co/cRSkzb0LQp"
186,"RT @CARLOSFMEJIA: Mientras el Grupo de Lima lucha para ayudar a #Venezuela a librarse de la tiranía y a recuperar su democracia, @lopezobrador_ al mejor estilo petrista, se niega a aceptar que los venezolanos estan sufriendo en las manos criminales de un dictador. Qué fácil se hacen los locos. https://t.co/dJI8j2CHnC"
191,"QT @Gamisox: apoyo la causa.. ; Soy Venezolano y pido, exijo aparezca este hijo de puta, maldito animal y pagué con cárcel el delito que cometió. No lo dejen salir nunca. Denle RT y demos con el paradero de esta rata inmunda. https://t.co/ZPEHo2mN6h"
198,"@NlsonS Obvio, pero es que lamentablemente cuando es la mayoria es muy jodido😢 Aquí en Colombia la cantidad de ladrones que asesinan gente son en su mayoria, Venezolanos."
203,"RT @WRadioColombia: Las salidas de las dictaduras criminales no se dan solo por los llamados internacionales, tiene que haber más iniciativa de los ciudadanos venezolanos: Marta Lucía Ramírez #VicepresidenteEnLaW https://t.co/cRSkzb0LQp"
205,@Citytv con el tema de los venezolanos que los saquen del país se le están dando muchas prevendas a estos ladrones y. matones y a los colombianos nos están jodiendo
209,"QT @CaracolBga: CON MOTOS VENECAS, ESTÁN HACIENTO MOTOTAXISMO ILEGAL EN BUCARAMANGA. ¿SOAT? ¿TECNOMECÁNICA? ¿DELITO?????? PILAS .... @transitobucara @GERMANTP https://t.co/trpjhaw88Z ; #DenunciaBga: Mañana en @CaracolBga, 99.2 FM y 880 AM hablaremos de este fenómeno: ahora usan motocicletas venezolanas para el transporte ilegal en @Bucaramanga https://t.co/FhAKWyMgSq"
220,"RT @FedericoBlackB: Presidente @Lenin. Esto ocurre ahora en el centro de Ibarra, Ecuador. Habitantes de la ciudad queman las pocas pertenencias de venezolanos. Mis hmnos no pueden pagar el delito de uno. No es justo. Esa gente no tiene nada, están pasando mucho trabajo. Frene esto #NoALaXenofobia https://t.co/3XggRMhjPk"
221,"RT @SurielOpina: 10 venezolanos atacan de la manera más brutal a un adulto mayor, ya que éste señor les pidió a los extranjeros que, por favor, bajen el volumen de su música: estos hicieron caso omiso y en vez de llevar la fiesta en paz, pues adoptaron comportamientos francamente CRIMINALES https://t.co/nXUyweWlXD"
223,"@actasaz Si seria también la salvación para Colombia y demás países,ratas venezolanas por todo lado,atracan,apuñalan,consumidores de vicios,pronto regreso a su guarida Venezuela."
224,"Twitter Colombia, de corazón deseo que este 2019 no estés cargado de esos bobos hijueputas que no dejan hacer chistes de negros, LGBTI, gatos, rolas, paisas, costeños, pereiranas, venecas, mamertos... Que así sea."
227,"#MEDELLIN #venezolana ADELYNE servicio es en mi apartamento privado, o a domicilio atiendo a hombres parejas y tríos LLAMAME INFO: 3235021084 PUBLICACION 👇👇👇 https://t.co/D9YuvTZvsN #prepago #putas #escort #Venezuela #paisa #Antioquia #Colombia #sexo https://t.co/v90CAtswYu"
228,"QT @rauljulialevy: Ojalá más gente se de cuenta allá del peligro que es el hijo de puta canoso. ; Los venezolanos nos lo advirtieron: ahora veo un AMLO más arrogante cínico que evade preguntas sobre la situación de Venezuela, un loco obsesionado con el micrófono en las entrevistas matutinas un charlatán izquierdista que nos mintió a toda la comunidad de activistas."
231,"RT @ErikaDLV: Los criminales no tienen nacionalidad. Son eso, criminales, asesinos, delincuentes y la justicia actúa sin mirar el pasaporte. Abrazo a los hermanos de Ecuador que le han dado una mano a tantos venezolanos. Protejamos nuestro sentido común, la compasión y la solidaridad del odio"
232,RT @jorgegarzon2581: @MarvinFaT @NoticiasCaracol Estamos invadidos de venezolanos pasando necesidades en nuestro pais por lo tanto esa dictadura se nos convirtió en una problemática generando mucha inseguridad.
233,"RT @InformadorVeraz: UH AH .... El Observatorio Venezolano de la Salud (OVS) destacó, en su informe anual correspondiente a 2018, que al menos 94% de los venezolanos NO pueden costear la canasta de alimentos y que 80% de los hogares vive en inseguridad alimentaria .... https://t.co/Jtxs12K2IC"
234,@unplebeyomas @perpetuok Sea como sea la idea principal es una sola que te aseguro que más del 90%de los venezolanos quiere y es salir de esos ladrones
236,"RT @CARLOSFMEJIA: Mientras el Grupo de Lima lucha para ayudar a #Venezuela a librarse de la tiranía y a recuperar su democracia, @lopezobrador_ al mejor estilo petrista, se niega a aceptar que los venezolanos estan sufriendo en las manos criminales de un dictador. Qué fácil se hacen los locos. https://t.co/dJI8j2CHnC"
238,"@YolandaRuizRCN La sociedad venezolana tiene que luchar por sacar a esos criminales, no pueden esperar como los Cubanos que algún día alguien les resuelva el problema."
239,"RT @oscarro82171407: @GiordanoBrunoFi @JJLN0468 Que tristeza y vergüenza! Como rechazan a los venezolanos aquí en Colombia, y por el mundo andan miles pero miles de hampones Colombianos! Averigüe y verá! Gota a gota, fleteros, sicarios,Extorsionostas,asaltantes de bancos, joyerías, jibaros,narcos, prostitutas y más ..."
243,"RT @CARLOSFMEJIA: Mientras el Grupo de Lima lucha para ayudar a #Venezuela a librarse de la tiranía y a recuperar su democracia, @lopezobrador_ al mejor estilo petrista, se niega a aceptar que los venezolanos estan sufriendo en las manos criminales de un dictador. Qué fácil se hacen los locos. https://t.co/dJI8j2CHnC"
248,"QT @_fransua: RT @berodriguezz: Lo siento, pero este tema del campamento venezolano aparte de dar muy mala presentación, es un peligro para el borde del… ; Hay que meterle la mano al campamento de venezolanos cerca a la terminal. Sin ánimo de generar discriminación, pero ya me han informado de dos atracos allí en la 25. A un joven le pegaron una puñalada en el tórax y los agresores salieron del cambuche. #Calico #Valle"
249,"PELIGRO Nueva Modalidad Con BURUNDANGA 👁Burundanga en lapiceros. ""Done $2.000 y llévese este lindo lapicero soy Venezolano por favor colabore"" ES LA NUEVA MODALIDAD DE ROBO PASEO MILLONARIO.... https://t.co/YwFAznClRf"
251,"RT @fertineo: Sr. Presidente @Lenin no generalice cuando hable de los venezolanos, no somos unos criminales. Porque entonces hablemos: este Sr. Es ecuatoriano y fue responsable de la matanza de 28 mineros en el sur de Venezuela. Yo sería incapaz de decir q TODOS los ecuatorianos son criminales https://t.co/MIig2lLWSx"
256,"RT @fertineo: Sr. Presidente @Lenin no generalice cuando hable de los venezolanos, no somos unos criminales. Porque entonces hablemos: este Sr. Es ecuatoriano y fue responsable de la matanza de 28 mineros en el sur de Venezuela. Yo sería incapaz de decir q TODOS los ecuatorianos son criminales https://t.co/MIig2lLWSx"
257,No más ratas venecas en Colombia.... VISA Y PASAPORTE PARA VENEZOLANOS... YA!!! https://t.co/XeVzcQXkl0
259,@VickyDavilaH Si Cuba y Venezuela no los entrega deberíamos cortar todo tipo de relaciones con esos dos países nada de embajadores ni tratados comerciales nada de nada expulsar a sus embajadores y ponerle sanciones a empresas cubanas y venezolanas
260,"RT @fertineo: Sr. Presidente @Lenin no generalice cuando hable de los venezolanos, no somos unos criminales. Porque entonces hablemos: este Sr. Es ecuatoriano y fue responsable de la matanza de 28 mineros en el sur de Venezuela. Yo sería incapaz de decir q TODOS los ecuatorianos son criminales https://t.co/MIig2lLWSx"
261,RT @Helenpomar: @IvanDuque @OEA_oficial Cerrar la embajada y expulsar a todos los venezolanos diplomáticos en Colombia!
264,"RT @GuillermoBalant: @oscar_concha Deberían sacar esa mamada de ladrones y vagos de Cali, los mimos venezolanos dicen que son una plaga, dicen que esos venezolanos son los chavistas vividores."
265,RT @Vicdeabreu: El principal promotor de esta oleada de ataques contra venezolanos en Ecuador es el presidente @Lenin Moreno. Hoy muchos no podrán dormir tranquilos por culpa de un delito que muchos NO cometieron. Tener una nacionalidad no es un delito.
268,"RT @Rafa_Rojas_G: En Ibarra-Ecuador no hay xenofobia, allí lo único que hacen es sacar del territorio, a los ladrones y en esta oportunidad los ladrones son venecos.!!!"
271,"RT @Augusto08369798: @NoticiasCaracol Que cierre la frontera y prohiba el ingreso de mas venecos al pais, muchos de ellos vienen a delinquir y a generar mas inseguridad."
274,"Me indigna la puta reacción de los ecuatorianos, que coño les pasa? No todos los venezolanos son asesinos, ni todos los ecuatorianos violadores. Por qué coño no persiguen al que violó o mató? Que puta arrechera esta mierda."
275,"RT @Saris_SilvaRo: Ese es el acopio de vagabundas de la ciudad y como solo van allá, salen a hablar 💩 de Medellín. Y pensar que de esas putas solo la tercera parte son locales, el resto de dividen entre venecas y el resto del país. Amigo tuitero paisa, diga no cuando un rolo quiera ir al Lleras."
280,"@madeleintlSUR Deje de distorsionar la realidad en Venezuela y actuar como mercenaria de la dictadura castrista invasora y asesina de ciudadanos venezolanos indefensos. Si usted respalda esos criminales, usted es partícipe de la muerte de niños por hambre y enfermedades. #FueraMaduroUsurpador"
284,@ANIABELLO_R @lrsanint Esos son los hptas que hacen y deshacen aquí en Colombia para dejar mal parados a los Venezolanos de bien que salieron huyendo del flagelo socialista. Son un peligro para Colombia.
288,"RT @Santorrado: 85 con 11, dos cuadras, tres familias de venezolanos, todas con niños de brazos. Yo sé que el problema de fondo no lo vamos a arreglar nosotros, ¿pero qué putas hacemos para al menos aliviar el hambre de los niños?"
296,"RT @CARLOSFMEJIA: Mientras el Grupo de Lima lucha para ayudar a #Venezuela a librarse de la tiranía y a recuperar su democracia, @lopezobrador_ al mejor estilo petrista, se niega a aceptar que los venezolanos estan sufriendo en las manos criminales de un dictador. Qué fácil se hacen los locos. https://t.co/dJI8j2CHnC"
299,"QT @Pacastr: RT @kenwoorth2001: Yo lo único que quiero es que saquen todos esos putos y putas venezolanos y venezolanas de colombia llegaron aquí y pien… ; A mi no me caen bien los policías, pero no todos son malos, y a nadie se le puede desear la muerte por Dios. Eso es un despropósito Bueno, a los violadores de niños si"
304,RT @LuisChataing: NO todos somos el asesino que le arrebató la vida a Diana. Los criminales no son exclusivos de ningún país. Meter a TODOS los venezolanos en el mismo sacó de un criminal es como meter a TODOS los ecuatorianos en el saco de un delincuente nacido en Ecuador. #PiensaloLeninMoreno
311,RT @AnonymousVene10: Agradecemos a todos los venezolanos ocultar cualquier tipo de prenda/vestimenta relacionada con #Venezuela. Su integridad física en estos momentos corre peligro. #Ecuador #Ibarra #BastaDeXenofobia
317,RT @LuisChataing: NO todos somos el asesino que le arrebató la vida a Diana. Los criminales no son exclusivos de ningún país. Meter a TODOS los venezolanos en el mismo sacó de un criminal es como meter a TODOS los ecuatorianos en el saco de un delincuente nacido en Ecuador. #PiensaloLeninMoreno
323,"RT @ReporteYa: #10Ene #ProtestaEnElExterior #Perú El ex-preso político y desterrado de Venezuela ⁦@VillcaFDEZ⁩ junto a venezolanos en Lima, insta al gobierno peruano a expulsar del país a los ""cómplice de la tiranía"". https://t.co/VXhCiCGYJy"
326,"RT @ELTIEMPO: #CityNoticias ¡Mucho cuidado! Los ladrones están al acecho en el barrio Sauzalito, en Ciudad Salitre. La comunidad denuncia que un grupo de venezolanos estaría tras los asaltos masivos a locales comerciales @Citytv @jnietoblanco https://t.co/Gk0wqzcoBX"
328,@Oliverius__ @garciagobed @FABIAN00872841 @Megafono_Mx después piden que no les digan venecos y no se refieran a las prostitutas como venecas. El ejemplo empieza por ustedes
330,"QT @ObeysserPrada: Son unas bestias... ¿Por qué no persiguen de esa manera a los asesinos y violadores de verdad? ; AHORA/ En #Ecuador al grito de “Fuera Malditos Asesinos”, comunidad e Ibarra recorre las calles ‘cazando’ venezolanos, violentan sus residencias y les queman las pertenencias. Amenazan que si no se van del pueblo, “los quemarán” #20Ene @ReporteYa https://t.co/dWH7HaBXYL"
331,"RT @fertineo: Sr. Presidente @Lenin no generalice cuando hable de los venezolanos, no somos unos criminales. Porque entonces hablemos: este Sr. Es ecuatoriano y fue responsable de la matanza de 28 mineros en el sur de Venezuela. Yo sería incapaz de decir q TODOS los ecuatorianos son criminales https://t.co/MIig2lLWSx"
339,"RT @Saris_SilvaRo: Ese es el acopio de vagabundas de la ciudad y como solo van allá, salen a hablar 💩 de Medellín. Y pensar que de esas putas solo la tercera parte son locales, el resto de dividen entre venecas y el resto del país. Amigo tuitero paisa, diga no cuando un rolo quiera ir al Lleras."
346,"RT @liuvi44: Deberían ya, darle la nacionalidad venezolana a todos los uribistas; ""cónchale vale""... Total, ellos ""sufren"" más por Venezuela, que por tanta injusticia, violencia, corrupción problemas en salud, educación, impuestos elevados, inseguridad y muerte en Colombia."
347,"@mluciaramirez Orar puede servir. Pero los gobiernos deben ACTUAR. Retirar embajadores, expulsar embajadores venezolanos y no privilegiar lo comercial sobre la vida de todo un país. Apenas ejemplos..."
351,Dos venezolanos son señalados de cometer un millonario atraco en Bucaramanga https://t.co/WaTN4wnjRc
353,RT @LuisChataing: NO todos somos el asesino que le arrebató la vida a Diana. Los criminales no son exclusivos de ningún país. Meter a TODOS los venezolanos en el mismo sacó de un criminal es como meter a TODOS los ecuatorianos en el saco de un delincuente nacido en Ecuador. #PiensaloLeninMoreno
354,@PoliciaBogota @TransMilenio Si venezolanos que son los que más están robando en Bogotá ratas y el gobierno dándoles ayudas y albergues para se escondan después de robar
357,"RT @PoliciaBquilla: Unidades del #MNVCC en conjunto con integrantes de la (RPC) Red de Participación Cívica, logran la captura en flagrancia de una persona de nacionalidad venezolana en el municipio de Galapa área metropolitana, por el delito de hurto #MiPolicíaDelCuadrante #MásCercaDelCiudadano https://t.co/q3tktO7Ct4"
